model,car_type,fuel_type,car_rating,year_to_start,riders,year_to_work,mean_rating,distance_sum,rating_min,speed_max,rides_count,ride_time_median,ride_stops_count,user_quality_median,rider_rating_mean,car_accidents_sum,driver_expirience,driver_age_mean,fix_duration_median,mean_destroy_degree,rarest_work,most_freq_work
Kia Rio X-line,economy,petrol,3.78,2015,76163,2021,4.737758620689656,12141310.405393252,0.1,180.85572556050948,168,58.0,630,0.023173661900778,8.229885057471265,2056.0,0.6815690997161683,33.51149425287356,27.0,3.0485714285714285,refuel,reparking
VW Polo VI,economy,petrol,3.9,2015,78218,2021,4.48051724137931,18039092.838364355,0.0,187.8627335471007,170,45.0,145,12.306011474511767,7.988505747126437,1212.0,0.7377104460377991,34.98850574712644,27.0,2.917142857142857,refuel_reparking,reparking
Renault Sandero,standart,petrol,6.3,2012,23340,2017,4.7683908045977015,15883659.427897697,0.1,102.38285735291586,168,38.5,140,2.513318921197051,7.843103448275862,1701.0,0.7578138707437131,32.839080459770116,25.0,3.74,refuel_reparking,repair
Mercedes-Benz GLC,business,petrol,4.04,2011,1263,2020,3.880919540229885,16518828.765338147,0.1,172.79323664031617,171,49.0,150,-5.029475721007603,8.524137931034483,2299.0,0.7253313660793516,34.97701149425287,27.0,4.085714285714285,refuel,repair
Renault Sandero,standart,petrol,4.7,2012,26428,2017,4.181149425287356,13983174.664415987,0.1,203.46228927518268,172,41.5,132,-14.260456360691336,8.112068965517242,1891.0,0.5221614435803981,34.298850574712645,26.0,3.8800000000000003,refuel,repair
Skoda Rapid,economy,petrol,2.36,2013,42176,2018,4.3517816091954025,10855890.99269225,0.1,180.88628937633771,165,40.0,142,-18.22183170934943,8.020114942528735,1294.0,0.4367196962467042,34.310344827586206,24.0,3.568571428571429,refuel,repair
Nissan Qashqai,standart,petrol,5.32,2012,24611,2014,4.392126436781609,8343280.331990728,0.1,174.98478561145714,168,41.0,138,12.321364132418193,7.818965517241379,1588.0,0.48708506576212685,33.02298850574713,23.0,3.0142857142857142,refuel,repair
Tesla Model 3,premium,electro,3.9,2017,116872,2019,4.7123563218390805,9793288.027071977,0.1,95.89073640916286,163,37.0,147,-8.939366273356725,9.11896551724138,2418.0,0.6755552547186726,34.666666666666664,28.0,3.2314285714285713,refuel_check,reparking
Kia Sportage,standart,petrol,3.5,2014,56384,2017,4.507758620689655,16444046.8943617,0.32,101.79861494928544,173,42.0,147,-1.1646904508091973,7.8212643678160925,1672.0,0.6691812504234802,32.4367816091954,26.0,3.742857142857143,refuel,repair
Smart ForFour,economy,petrol,4.56,2013,41309,2018,4.376839080459771,6975742.479808934,0.1,125.25498324154968,166,34.0,125,3.769684186697205,7.87183908045977,1666.0,0.44909103452726695,32.839080459770116,25.0,3.3085714285714283,refuel,repair
VW Polo,economy,petrol,2.14,2012,22590,2018,4.675804597701149,11412281.133244712,0.1,164.22020969763824,169,37.5,129,-0.06794626497818546,8.121264367816092,1784.0,0.6298500327377061,33.48850574712644,30.0,2.5457142857142854,refuel_check,reparking
VW Polo VI,economy,petrol,5.0,2011,919,2017,4.226379310344828,12512904.708291572,0.0,187.0,172,46.0,144,-7.708230228883274,8.040229885057471,1411.0,0.6063508888782168,34.00574712643678,26.0,3.742857142857143,refuel_check,reparking
Kia Rio,economy,petrol,3.92,2015,73646,2018,4.70051724137931,7203696.103685387,0.16,153.54720575175003,170,37.0,150,4.226565662313874,8.112068965517242,1859.0,0.4970586077215771,35.5919540229885,27.0,2.5285714285714285,refuel_check,repair
