iter	Passed	Remaining
0	22	2256
1	44	2192
2	66	2164
3	92	2212
4	113	2150
5	134	2099
6	155	2062
7	175	2021
8	195	1978
9	215	1940
10	236	1909
11	256	1878
12	276	1849
13	295	1815
14	315	1785
15	334	1755
16	353	1726
17	373	1699
18	391	1670
19	413	1653
20	433	1631
21	452	1605
22	472	1581
23	492	1559
24	511	1535
25	531	1511
26	550	1487
27	569	1463
28	589	1443
29	611	1425
30	631	1405
31	651	1383
32	671	1364
33	693	1345
34	714	1326
35	735	1308
36	756	1287
37	778	1269
38	799	1250
39	820	1230
40	841	1210
41	861	1190
42	882	1169
43	903	1150
44	924	1129
45	944	1109
46	965	1089
47	987	1069
48	1007	1049
49	1029	1029
50	1049	1008
51	1070	988
52	1091	967
53	1113	948
54	1134	928
55	1155	907
56	1180	890
57	1202	870
58	1222	849
59	1244	829
60	1264	808
61	1285	788
62	1307	767
63	1329	747
64	1351	727
65	1373	707
66	1396	687
67	1419	668
68	1442	648
69	1462	626
70	1481	605
71	1502	584
72	1522	563
73	1541	541
74	1562	520
75	1581	499
76	1601	478
77	1622	457
78	1642	436
79	1663	415
80	1682	394
81	1703	373
82	1723	352
83	1743	332
84	1763	311
85	1783	290
86	1802	269
87	1823	248
88	1844	227
89	1864	207
90	1884	186
91	1905	165
92	1925	144
93	1946	124
94	1968	103
95	1990	82
96	2012	62
97	2033	41
98	2054	20
99	2076	0
