iter	Passed	Remaining
0	249	201236
1	483	194794
2	725	194561
3	973	195587
4	1081	173722
5	1331	177939
6	1562	178769
7	1784	178458
8	1998	177437
9	2216	176858
10	2441	176884
11	2662	176632
12	2874	175785
13	3099	175772
14	3204	169424
15	3419	169267
16	3656	170146
17	3888	170642
18	4097	170172
19	4200	165503
20	4420	165679
21	4645	165971
22	4864	166011
23	5096	166474
24	5314	166453
25	5544	166750
26	5759	166594
27	5988	166829
28	6199	166527
29	6412	166289
30	6642	166478
31	6858	166316
32	7069	166034
33	7124	162180
34	7341	162142
35	7577	162484
36	7806	162673
37	8031	162742
38	8257	162816
39	8317	159695
40	8547	159904
41	8780	160137
42	9021	160490
43	9243	160494
44	9492	160943
45	9722	161050
46	9834	159232
47	9941	157410
48	10170	157535
49	10440	158278
50	10579	157031
51	10887	158281
52	11184	159329
53	11409	159316
54	11651	159513
55	11870	159398
56	12105	159496
57	12331	159454
58	12562	159483
59	12672	157983
60	12914	158147
61	13168	158452
62	13396	158423
63	13644	158613
64	13872	158577
65	13989	157272
66	14106	156010
67	14322	155861
68	14377	153981
69	14613	154066
70	14834	153985
71	15059	153940
72	15276	153809
73	15527	154019
74	15756	153995
75	15985	153967
76	16209	153889
77	16438	153848
78	16662	153763
79	16880	153610
80	16996	152552
81	17223	152488
82	17469	152592
83	17679	152384
84	17896	152226
85	18126	152181
86	18368	152223
87	18598	152167
88	18661	150761
89	18900	150787
90	19119	150640
91	19344	150549
92	19607	150745
93	19826	150597
94	20061	150566
95	20299	150557
96	20523	150431
97	20634	149496
98	20857	149370
99	21076	149219
100	21301	149113
101	21541	149102
102	21795	149180
103	22027	149110
104	22262	149054
105	22494	148971
106	22710	148785
107	22934	148650
108	23157	148504
109	23381	148364
110	23629	148373
111	23879	148391
112	24097	148209
113	24327	148098
114	24573	148081
115	24795	147915
116	25032	147842
117	25268	147757
118	25502	147658
119	25719	147458
120	25947	147324
121	26175	147184
122	26403	147041
123	26636	146927
124	26853	146728
125	27073	146541
126	27318	146487
127	27542	146317
128	27764	146141
129	27982	145939
130	28207	145776
131	28317	145020
132	28548	144890
133	28783	144776
134	29023	144686
135	29236	144464
136	29341	143707
137	29575	143589
138	29684	142869
139	29916	142743
140	30126	142514
141	30231	141791
142	30469	141693
143	30696	141547
144	30917	141365
145	31139	141192
146	31355	140991
147	31586	140859
148	31818	140726
149	32048	140585
150	32266	140389
151	32488	140215
152	32721	140080
153	32933	139859
154	33031	139160
155	33133	138482
156	33346	138271
157	33576	138130
158	33630	137273
159	33852	137102
160	34089	136992
161	34192	136349
162	34420	136203
163	34647	136056
164	34748	135413
165	34965	135227
166	35202	135119
167	35426	134957
168	35653	134807
169	35868	134613
170	36095	134461
171	36315	134283
172	36550	134158
173	36788	134046
174	37038	133972
175	37273	133844
176	37380	133259
177	37609	133113
178	37849	133000
179	37967	132465
180	38206	132350
181	38311	131774
182	38531	131596
183	38765	131464
184	38988	131296
185	39220	131158
186	39438	130968
187	39653	130770
188	39884	130626
189	39987	130064
190	40213	129903
191	40322	129367
192	40552	129222
193	40826	129213
194	40937	128689
195	41167	128542
196	41413	128444
197	41643	128296
198	41890	128198
199	42104	127997
200	42215	127488
201	42433	127300
202	42654	127124
203	42895	127004
204	43118	126832
205	43352	126691
206	43579	126527
207	43794	126330
208	44012	126142
209	44232	125957
210	44460	125794
211	44695	125653
212	44915	125468
213	45125	125254
214	45374	125148
215	45514	124742
216	45771	124658
217	45994	124481
218	46208	124277
219	46488	124251
220	46730	124120
221	46948	123927
222	47164	123727
223	47419	123629
224	47568	123254
225	47801	123100
226	48020	122908
227	48126	122426
228	48235	121957
229	48461	121785
230	48574	121330
231	48798	121154
232	49013	120954
233	49251	120812
234	49353	120338
235	49590	120194
236	49648	119616
237	49867	119431
238	50091	119256
239	50317	119084
240	50560	118954
241	50787	118784
242	51002	118586
243	51057	118017
244	51312	117914
245	51550	117769
246	51764	117570
247	51984	117383
248	52221	117235
249	52447	117062
250	52664	116868
251	52879	116669
252	53105	116496
253	53324	116307
254	53381	115764
255	53613	115603
256	53834	115418
257	54057	115238
258	54295	115090
259	54358	114570
260	54591	114412
261	54659	113908
262	54899	113764
